1, DENARI, a
2, DENARI, a
3, DENARI, a
4, DENARI, a
5, DENARI, a
6, DENARI, a
7, DENARI, a
8, DENARI, a
9, DENARI, a
10, DENARI, a
1, COPPE, a
2, COPPE, a
3, COPPE, a
4, COPPE, a
5, COPPE, a
6, COPPE, a
7, COPPE, a
8, COPPE, a
9, COPPE, a
10, COPPE, a
1, SPADE, a
2, SPADE, a
3, SPADE, a
4, SPADE, a
5, SPADE, a
6, SPADE, a
7, SPADE, a
8, SPADE, a
9, SPADE, a
10, SPADE, a
1, BASTONI, a
2, BASTONI, a
3, BASTONI, a
4, BASTONI, a
5, BASTONI, a
6, BASTONI, a
7, BASTONI, a
8, BASTONI, a
9, BASTONI, a
10, BASTONI, a
